Song,Writer(s),Original release,Producer(s),Year,Ref.
"""We're All Water"" #(with Elephant's Memory)",Yoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""What You Got""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Whatever Gets You thru the Night""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Woman""  #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Woman Is the Nigger of the World""  #(with Elephant's Memory)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Working Class Hero""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""Ya Ya""[k]",Morgan RobinsonLee DorseyClarence LewisMorris Levy,Walls and Bridges,John Lennon,1974,[22]
"""Yer Blues""[d] (live)(Plastic Ono Band)",John LennonPaul McCartney,Live Peace in Toronto 1969,John LennonYoko Ono,1969,[31]
"""Yesterday""[d] (parody)",John LennonPaul McCartney,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""You Are Here""",John Lennon,Mind Games,John Lennon,1973,[25]
"""You Can't Catch Me""",Chuck Berry,Rock 'n' Roll,Phil Spector,1975,[24]
"""You're the One"" #",Yoko Ono,Milk and Honey,Yoko Ono,1984,[32]
"""Your Hands"" #",Yoko Ono,Milk and Honey,John LennonYoko Ono,1984,[32]
