Song,Artist,Writer(s),Original release,Year,Ref.
"""Love Come Tumbling Down""",Paul McCartney,Paul McCartney,"B-side to ""Beautiful Night"" (CD1)",1997,[142]
"""A Love for You""",Paul McCartney,Paul McCartney,Music from the Motion Picture The In-Laws,2003,[143]
"""Love in Song""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Love Is Strange""(Mickey & Sylvia cover)",Wings,Mickey BakerEthel Smith,Wild Life,1971,[78]
"""Love Mix""",Paul McCartney,Paul McCartney,Oobu Joobu,1995,[62]
"""Love My Baby"" (from ""One Hand Clapping"")",Wings,Paul McCartneyLinda McCartney,Venus and Mars (Archive Collection),2014,[45]
"""Loveliest Thing""",Paul McCartney,Paul McCartney,"B-side to ""Figure of Eight"" (CD single)",1989,[140]
"""The Lovely Linda""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Lovers in a Dream""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""The Lovers That Never Were""",Paul McCartney,Paul McCartneyDeclan MacManus,Off the Ground,1993,[77]
"""Lucille""(Little Richard cover)",Paul McCartney,Richard PennimanAlbert Collins,CHOBA B CCCP,1988,[52]
"""Lunch Box/Odd Sox""",Wings,Paul McCartney,"B-side to ""Coming Up""",1980,[93]
"""Made Up""",Paul McCartney,Paul McCartneyThe Beatles,Liverpool Sound Collage,2000,[111]
"""Magic""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Magneto and Titanium Man""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Mama's Little Girl""",Wings,Paul McCartney,"B-side to ""Put It There""",1990,[144]
"""Mamunia""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Band on the Run,1973,[72]
"""The Man""",Paul McCartneyand Michael Jackson,Paul McCartneyMichael Jackson,Pipes of Peace,1983,[63]
"""Man We Was Lonely""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Mary Had a Little Lamb""",Wings,Paul McCartneyLinda McCartney,Non-album single,1972,[138]
"""Maybe Baby"" (Buddy Holly cover)",Paul McCartney,Buddy HollyNorman Petty,Maybe Baby (soundtrack),2000,[145]
"""Maybe I'm Amazed""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Medicine Jar""",Wings,Jimmy McCullochColin Allen,Venus and Mars,1975,[85]
"""The Mess"" (live)[p]",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,"B-side to ""My Love""",1973,[146]
"""Midnight Special""",Paul McCartney,Traditional,CHOBA B CCCP,1988,[52]
"""Mistress and Maid""",Paul McCartney,Paul McCartneyDeclan MacManus,Off the Ground,1993,[77]
"""Momma Miss America""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Monkberry Moon Delight""",Paul and Linda McCartney,Paul McCartneyLinda McCartney,Ram,1971,[43]
"""More I Cannot Wish You""(Pat Rooney Sr. cover)",Paul McCartney,Frank Loesser,Kisses on the Bottom,2012,[48]
"""Morse Moose and the Grey Goose""",Wings,Paul McCartneyDenny Laine,London Town,1978,[68]
"""Motor of Love""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[101]
"""Move Over Busker""",Paul McCartney,Paul McCartneyEric Stewart,Press to Play,1986,[58]
"""Movie Magg""(Carl Perkins cover)",Paul McCartney,Carl Perkins,Run Devil Run,1999,[55]
"""Mr. H. Atom/You Know I'll Get You Baby""",Paul McCartney,Paul McCartney,McCartney II (Archive Collection),2011,[56]
"""Mr. Bellamy""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""Mrs. Vandebilt""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Band on the Run,1973,[72]
"""Mull of Kintyre""",Wings,Paul McCartneyDenny Laine,Non-album single,1977,[115]
"""Mumbo""",Wings,Paul McCartneyLinda McCartney,Wild Life,1971,[78]
"""Mumbo Link""",Wings,Paul McCartneyLinda McCartney,Wild Life (1993 remaster),1993,[79]
"""Must Do Something About It""",Wings,Paul McCartneyLinda McCartney,Wings at the Speed of Sound,1976,[74]
"""My Brave Face""",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt,1989,[101]
"""My Carnival""",Wings,Paul McCartney,"B-side to ""Spies Like Us""",1985,[147]
"""My Love""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway,1973,[75]
