Song,Artist,Writer(s),Original release,Year,Ref.
"""Treat Her Gently/Lonely Old People""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Tropic Island Hum""",Paul McCartney,Paul McCartney,Non-album single,2004,[168]
"""Try Not to Cry""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[55]
"""Tug of Peace""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""Tug of War""",Paul McCartney,Paul McCartney,Tug of War,1982,[71]
"""Turned Out""",Paul McCartney,Paul McCartney,New (Deluxe edition),2013,[113]
"""Twenty Fine Fingers"" (demo)",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt (Archive Collection),2017,[126]
"""Twenty Flight Rock""(Eddie Cochran cover)",Paul McCartney,Eddie CochranNed Fairchild,CHOBA B CCCP,1988,[52]
"""Twice in a Lifetime""",Paul McCartney,Paul McCartney,Pipes of Peace(The Paul McCartney Collection reissue),1993,[169]
"""Two Magpies""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""Uncle Albert/Admiral Halsey""",Paul and Linda McCartney,Paul McCartneyLinda McCartney,Ram,1971,[43]
"""Universal Here, Everlasting Now""",The Fireman,Paul McCartney,Electric Arguments,2008,[97]
"""Used to Be Bad""",Paul McCartney,Paul McCartneySteve Miller,Flaming Pie,1997,[73]
"""Valentine Day""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Vanilla Sky""",Paul McCartney,Paul McCartney,Music from Vanilla Sky,2001,[170]
"""Venus and Mars""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Venus and Mars (Reprise)""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""Vintage Clothes""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""Walk with You""",Ringo Starrand Paul McCartney,Richard StarkeyVan Dyke Parks,Y Not(Ringo Starr album),2010,[171]
"""Walking in the Park with Eloise""",The Country Hams[e],James McCartney,Non-album single,1974,[81]
"""Wanderlust""[d]",Paul McCartney,Paul McCartney,Tug of War,1982,[71]
"""Warm and Beautiful""",Wings,Paul McCartneyLinda McCartney,Wings at the Speed of Sound,1976,[74]
"""Watercolour Guitars""",The Fireman,Paul McCartneyYouth,Rushes,1998,[46]
"""Watercolour Rush""",The Fireman,Paul McCartneyYouth,Rushes,1998,[46]
"""Waterfalls""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""We All Stand Together""[s]",Paul McCartney andthe Frog Chorus,Paul McCartney,Non-album single,1984,[172]
"""We Got Married""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[101]
"""We Three (My Echo, My Shadow and Me)""(Frank Sinatra and the Tommy Dorsey Orchestra cover)",Paul McCartney,Sammy MyselsDick RobertsonNelson Cogane,Kisses on the Bottom,2012,[48]
"""We're Open Tonight""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""What It Is""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[55]
"""What's That You're Doing?""",Paul McCartneyand Stevie Wonder,Paul McCartneyStevie Wonder,Tug of War,1982,[71]
"""When the Night""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway,1973,[75]
"""When the Wind Is Blowing""",Wings,Paul McCartneyLinda McCartney,Wild Life (Archive Collection),2018,[49]
"""Who Cares""",Paul McCartney,Paul McCartney,Egypt Station,2018,[66]
"""Whole Life""",Paul McCartneyand Dave Stewart,Paul McCartneyDave Stewart,One Year On: 46664 (EP),2005,[173]
"""Why So Blue""",Paul McCartney,Paul McCartney,Memory Almost Full (2-CD edition),2007,[42]
"""Wild Life""",Wings,Paul McCartneyLinda McCartney,Wild Life,1971,[78]
"""Winedark Open Sea""",Paul McCartney,Paul McCartney,Off the Ground,1993,[77]
"""Wino Junko""",Wings,Jimmy McCullochColin Allen,Wings at the Speed of Sound,1976,[74]
"""Winter Rose/Love Awake""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""With a Little Luck""",Wings,Paul McCartney,London Town,1978,[68]
"""Women Kind"" (demo)",Paul McCartney,Paul McCartney,McCartney (Archive Collection),2011,[164]
"""Wonderful Christmastime""",Paul McCartney,Paul McCartney,Non-album single,1979,[156]
"""The World Tonight""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[73]
"""Write Away""",Paul McCartney,Paul McCartneyEric Stewart,"B-side to ""Pretty Little Head""",1986,[174]
"""Yeah""",Various[t],Eddie Murphy,Love's Alright,1993,[175]
"""Yesterday""[g]",Paul McCartney,John LennonPaul McCartney,Give My Regards to Broad Street,1984,[70]
"""You Gave Me the Answer""",Wings,Paul McCartneyLinda McCartney,Venus and Mars,1975,[85]
"""You Tell Me""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""You Want Her Too""",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt,1989,[101]
"""Young Boy""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[73]
"""Your Loving Flame""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Your Way""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Zoo Gang""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,"B-side to ""Band on the Run""",1974,[176]
